msisdn,called_number,call_start,call_end,duration_sec,imei,imsi,cell_id,lac,call_type,roaming_flag,serving_operator
9845012345,9845867458,2024-03-12 15:50:00,2024-03-12 15:52:11,131,356938035643809,404450920139481,BLR-KOR-001,56001,VOICE,N,Airtel
9845012345,9845107070,2024-03-12 20:16:00,2024-03-12 20:17:19,79,356938035643809,404450920139481,BLR-KOR-001,56001,VOICE,N,Airtel
9845012345,9845210028,2024-03-12 21:31:00,2024-03-12 21:32:30,90,356938035643809,404450920139481,BLR-KOR-001,56001,VOICE,N,Airtel
9845012345,9845787162,2024-03-12 22:40:00,2024-03-12 22:43:03,183,356938035643809,404450920139481,BLR-KOR-001,56001,VOICE,N,Airtel
9845012345,9845312931,2024-03-13 01:48:00,2024-03-13 01:50:26,146,356938035643809,404450920139481,BLR-KOR-001,56001,VOICE,N,Airtel
9845012345,9845751612,2024-03-13 06:13:00,2024-03-13 06:14:42,102,356938035643809,404450920139481,BLR-KOR-001,56001,VOICE,N,Airtel
9845012345,9845142699,2024-03-13 09:44:00,2024-03-13 09:48:13,253,356938035643809,404450920139481,BLR-KOR-001,56001,VOICE,N,Airtel
9845012345,9845355699,2024-03-13 14:23:00,2024-03-13 14:25:27,147,356938035643809,404450920139481,BLR-KOR-001,56001,VOICE,N,Airtel
9845012345,9845140963,2024-03-13 17:04:00,2024-03-13 17:05:06,66,356938035643809,404450920139481,BLR-KOR-001,56001,VOICE,N,Airtel
9845012345,9845923761,2024-03-13 18:47:00,2024-03-13 18:48:18,78,356938035643809,404450920139481,BLR-KOR-001,56001,VOICE,N,Airtel
9845012345,9845688822,2024-03-13 21:08:00,2024-03-13 21:11:47,227,356938035643809,404450920139481,BLR-KOR-001,56001,VOICE,N,Airtel
9845012345,9845466889,2024-03-14 00:17:00,2024-03-14 00:21:52,292,356938035643809,404450920139481,BLR-KOR-001,56001,VOICE,N,Airtel
9845012345,9845142955,2024-03-14 02:28:00,2024-03-14 02:32:11,251,356938035643809,404450920139481,BLR-KOR-001,56001,VOICE,N,Airtel
9845012345,9845238549,2024-03-14 07:13:00,2024-03-14 07:15:07,127,356938035643809,404450920139481,BLR-KOR-001,56001,VOICE,N,Airtel
9845012345,9845648071,2024-03-14 09:29:00,2024-03-14 09:30:48,108,356938035643809,404450920139481,BLR-KOR-001,56001,VOICE,N,Airtel
9845012345,9845496920,2024-03-14 11:08:00,2024-03-14 11:08:31,31,356938035643809,404450920139481,BLR-KOR-001,56001,VOICE,N,Airtel
9845012345,9845268037,2024-03-14 13:42:00,2024-03-14 13:44:03,123,356938035643809,404450920139481,BLR-KOR-001,56001,VOICE,N,Airtel
9845012345,9845165178,2024-03-14 17:52:00,2024-03-14 17:53:33,93,356938035643809,404450920139481,BLR-KOR-001,56001,VOICE,N,Airtel
9845012345,9845235674,2024-03-14 18:57:00,2024-03-14 18:59:19,139,356938035643809,404450920139481,BLR-KOR-001,56001,VOICE,N,Airtel
9845012345,9845594610,2024-03-14 20:06:00,2024-03-14 20:09:48,228,356938035643809,404450920139481,BLR-KOR-001,56001,VOICE,N,Airtel
9845012345,199,2024-03-15 14:11:00,2024-03-15 14:13:00,120,490154203237518,404450920139481,BLR-KOR-001,56001,VOICE,N,Airtel
9731088421,8197634520,2024-03-15 14:28:00,2024-03-15 14:28:45,45,864201049382019,404118302910293,BLR-KOR-002,56001,VOICE,N,Jio
